               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11364,            0.049768,            0.051682,             0.42058,            0.038655,            0.011687,           0.0025369,             0.10019,            0.044543,            0.032232,            0.070233,           0.0033075,           0.0033075
                   1,            0.098728,            0.046897,            0.025458,             0.82603,            0.045378,            0.019958,           0.0046072,            0.097244,            0.038215,            0.025119,            0.040167,           0.0065751,           0.0065751
                   2,            0.097606,            0.043152,            0.022186,             0.83851,            0.056111,            0.029105,           0.0072731,            0.094946,            0.038043,            0.023361,            0.010035,           0.0097767,           0.0097767
                   3,            0.094089,            0.044013,             0.02098,             0.85644,            0.052941,            0.042733,            0.012116,            0.086843,            0.037756,            0.021086,            0.009703,            0.009703,            0.009703
                   4,            0.087932,            0.046013,            0.019566,              0.4374,             0.17479,            0.051547,            0.012889,            0.086504,            0.037156,             0.01903,            0.009703,            0.009703,            0.009703
                   5,            0.083174,            0.043095,            0.017828,             0.48677,             0.19529,            0.081683,            0.020901,            0.080807,            0.037295,              0.0172,            0.009604,            0.009604,            0.009604
                   6,            0.081204,            0.044544,            0.015717,             0.58323,             0.19503,             0.12759,            0.036593,            0.076842,            0.037822,            0.015876,            0.009505,            0.009505,            0.009505
                   7,            0.078547,            0.042878,            0.014547,             0.50475,             0.19419,            0.097053,            0.031414,            0.077995,            0.036182,            0.015271,            0.009406,            0.009406,            0.009406
                   8,            0.077137,             0.04288,            0.014548,             0.50907,             0.26679,             0.12574,            0.035701,            0.075468,            0.035702,            0.014479,            0.009307,            0.009307,            0.009307
                   9,            0.075653,            0.042006,            0.013775,             0.51911,             0.28334,             0.17047,            0.059628,            0.070543,            0.037657,             0.01374,            0.009208,            0.009208,            0.009208
                  10,            0.074688,            0.043218,             0.01285,             0.54667,             0.22448,             0.14459,            0.053213,             0.07536,            0.035659,            0.013566,            0.009109,            0.009109,            0.009109
                  11,            0.074478,            0.041818,            0.012646,             0.57468,             0.26562,             0.20969,            0.070208,            0.070345,            0.035523,            0.013332,             0.00901,             0.00901,             0.00901
                  12,            0.072176,            0.039486,            0.012383,             0.63709,             0.28137,             0.23736,            0.077999,            0.069244,            0.035104,            0.012562,            0.008911,            0.008911,            0.008911
                  13,            0.071487,            0.040399,            0.012174,             0.42115,             0.29555,             0.23629,            0.084667,            0.069205,            0.034851,            0.012235,            0.008812,            0.008812,            0.008812
                  14,            0.070838,            0.039461,            0.011353,             0.50127,             0.32068,             0.31525,             0.10814,            0.067205,            0.034426,            0.011115,            0.008713,            0.008713,            0.008713
                  15,             0.06995,            0.040506,            0.011093,             0.41153,                0.41,             0.36309,             0.11243,            0.066781,            0.033138,            0.010921,            0.008614,            0.008614,            0.008614
                  16,            0.068569,            0.040908,           0.0098616,             0.53648,              0.3082,             0.42031,             0.15795,            0.066153,              0.0337,            0.010891,            0.008515,            0.008515,            0.008515
                  17,            0.067491,            0.038876,            0.010761,             0.57088,             0.38906,              0.3834,             0.13523,            0.062768,            0.034267,            0.010038,            0.008416,            0.008416,            0.008416
                  18,            0.066102,            0.037689,           0.0098759,             0.60247,             0.40069,              0.4014,             0.15372,            0.061973,            0.032962,           0.0095008,            0.008317,            0.008317,            0.008317
                  19,            0.065925,             0.03729,           0.0088402,             0.58373,             0.35212,             0.38855,             0.14824,            0.062513,            0.033001,           0.0085074,            0.008218,            0.008218,            0.008218
                  20,            0.065266,             0.03669,           0.0086395,             0.60747,             0.39931,             0.41633,             0.16593,            0.062399,             0.03346,           0.0079812,            0.008119,            0.008119,            0.008119
                  21,            0.063508,            0.036228,            0.007955,             0.56195,             0.39521,             0.41888,             0.14821,             0.06405,             0.03233,           0.0074756,             0.00802,             0.00802,             0.00802
                  22,            0.063529,             0.03911,           0.0074444,             0.73692,             0.36254,             0.44759,             0.16428,            0.061468,            0.032552,           0.0064886,            0.007921,            0.007921,            0.007921
                  23,            0.062121,            0.037827,           0.0070553,             0.70232,             0.41907,             0.48705,             0.19055,             0.06098,            0.031388,           0.0061323,            0.007822,            0.007822,            0.007822
                  24,            0.061747,            0.034238,            0.007253,             0.63722,             0.41352,             0.43744,             0.16481,            0.058989,             0.03131,            0.005708,            0.007723,            0.007723,            0.007723
                  25,            0.061698,            0.035087,            0.006855,              0.6463,             0.47329,             0.46168,             0.18944,            0.057483,            0.031151,           0.0055416,            0.007624,            0.007624,            0.007624
                  26,            0.061255,            0.035328,           0.0064342,             0.68865,              0.4467,             0.48339,               0.208,            0.057944,            0.030654,           0.0051048,            0.007525,            0.007525,            0.007525
                  27,            0.061044,            0.036326,           0.0069055,             0.80163,             0.41523,             0.53694,             0.23776,            0.055985,             0.03091,           0.0048485,            0.007426,            0.007426,            0.007426
                  28,            0.060414,            0.035944,           0.0063068,             0.66201,             0.41405,             0.54912,             0.20725,            0.057065,            0.031197,           0.0049794,            0.007327,            0.007327,            0.007327
                  29,            0.060897,            0.037008,           0.0060325,             0.71916,             0.49098,             0.58585,             0.24264,            0.055784,            0.030043,           0.0050124,            0.007228,            0.007228,            0.007228
